Data;Hora;Chuva;Nivel;Temperatura Media;Umidade Media
21/03/2023;1200;0.40;2.24;22.90;89.50
21/03/2023;1300;0.20;2.24;23.45;89.00
21/03/2023;0;0.00;2.24;25.65;81.50
21/03/2023;100;0.00;2.24;25.10;85.00
21/03/2023;200;0.00;2.24;24.90;84.50
21/03/2023;300;0.00;2.24;25.05;85.50
21/03/2023;400;0.00;2.24;25.00;85.50
21/03/2023;500;0.00;2.24;25.15;83.50
21/03/2023;600;0.00;2.24;25.05;82.50
21/03/2023;1400;0.00;2.24;24.30;87.00
21/03/2023;1500;0.00;2.24;25.70;82.00
21/03/2023;1700;0.00;2.24;25.60;86.50
21/03/2023;1800;0.00;2.24;27.00;81.50
21/03/2023;1900;0.00;2.24;25.50;81.00
21/03/2023;2100;0.00;2.24;24.30;86.50
21/03/2023;2200;0.00;2.24;24.40;85.50
21/03/2023;2300;0.00;2.24;24.40;85.00
22/03/2023;0;0.00;2.27;24.20;85.00
22/03/2023;100;0.00;2.27;24.05;85.00
22/03/2023;200;0.00;2.27;24.25;84.00
22/03/2023;300;0.00;2.27;24.10;85.00
22/03/2023;400;0.00;2.27;24.10;85.50
22/03/2023;500;0.00;2.27;24.15;85.50
22/03/2023;600;0.00;2.27;24.60;82.50
22/03/2023;700;0.00;2.27;24.95;80.50
22/03/2023;800;0.00;2.27;24.65;83.00
22/03/2023;900;0.00;2.27;24.30;83.50
22/03/2023;1000;0.00;2.27;24.45;83.00
22/03/2023;1100;0.00;2.27;24.65;82.50
22/03/2023;1200;0.00;2.27;25.40;79.50
22/03/2023;1300;0.00;2.27;26.55;76.00
22/03/2023;1400;0.00;2.27;28.10;72.00
22/03/2023;1500;0.00;2.27;29.95;64.50
22/03/2023;1600;0.00;2.27;30.00;64.00
22/03/2023;1700;0.00;2.27;30.90;60.50
22/03/2023;1800;0.00;2.27;30.60;61.00
22/03/2023;1900;0.00;2.27;31.00;57.00
22/03/2023;2000;0.00;2.27;30.40;59.00
22/03/2023;2100;0.00;2.27;30.05;57.50
22/03/2023;2200;0.00;2.27;28.50;66.50
22/03/2023;2300;0.00;2.27;27.70;71.00
23/03/2023;0;0.00;2.27;27.40;71.00
23/03/2023;100;0.00;2.27;26.70;76.00
23/03/2023;200;0.00;2.27;26.45;77.50
23/03/2023;300;0.00;2.27;26.60;78.50
23/03/2023;400;0.00;2.27;26.15;85.50
23/03/2023;500;0.00;2.27;25.90;85.00
23/03/2023;600;0.00;2.27;25.70;83.50
23/03/2023;700;0.00;2.27;25.30;86.50
23/03/2023;800;0.00;2.27;25.30;87.50
23/03/2023;900;0.00;2.27;25.15;87.00
23/03/2023;1000;0.00;2.27;24.90;85.00
23/03/2023;1100;0.00;2.27;25.35;84.50
23/03/2023;1200;0.00;2.27;26.90;79.00
23/03/2023;1300;0.00;2.27;28.10;75.00
23/03/2023;1400;0.00;2.27;28.80;74.00
23/03/2023;1500;0.00;2.27;29.70;69.00
23/03/2023;1600;0.00;2.27;31.55;61.00
23/03/2023;1700;0.00;2.27;32.15;56.00
23/03/2023;1800;0.00;2.27;32.65;54.50
23/03/2023;1900;0.00;2.27;31.95;57.50
23/03/2023;2000;0.00;2.27;30.10;65.50
23/03/2023;2100;0.00;2.27;29.20;69.00
23/03/2023;2200;0.00;2.27;29.05;67.50
23/03/2023;2300;0.00;2.27;28.60;69.50
24/03/2023;800;6.80;2.32;21.85;90.50
24/03/2023;1000;3.40;2.32;22.05;89.00
24/03/2023;700;3.00;2.32;22.10;89.00
24/03/2023;900;2.60;2.32;21.80;90.50
24/03/2023;1100;2.40;2.32;22.20;87.50
24/03/2023;1200;1.20;2.32;22.20;85.50
24/03/2023;0;0.00;2.32;27.60;76.50
24/03/2023;100;0.00;2.32;27.10;81.00
24/03/2023;200;0.00;2.32;27.20;79.00
24/03/2023;300;0.00;2.32;26.45;79.50
24/03/2023;400;0.00;2.32;26.05;81.50
24/03/2023;500;0.00;2.32;26.10;79.00
24/03/2023;600;0.00;2.32;24.30;82.50
24/03/2023;1300;0.00;2.32;22.60;81.50
24/03/2023;1400;0.00;2.32;23.80;82.00
24/03/2023;1500;0.00;2.32;25.20;78.00
24/03/2023;1600;0.00;2.32;25.60;78.50
24/03/2023;1700;0.00;2.32;27.20;73.00
24/03/2023;1800;0.00;2.32;28.55;67.00
24/03/2023;1900;0.00;2.32;29.25;63.50
24/03/2023;2000;0.00;2.32;29.60;62.00
24/03/2023;2100;0.00;2.32;29.25;65.00
24/03/2023;2200;0.00;2.32;27.75;73.50
24/03/2023;2300;0.00;2.32;26.60;80.00
25/03/2023;0;0.00;2.34;25.95;81.50
25/03/2023;100;0.00;2.34;25.55;81.00
25/03/2023;200;0.00;2.34;25.60;79.00
25/03/2023;300;0.00;2.34;25.55;78.00
25/03/2023;400;0.00;2.34;25.15;81.50
25/03/2023;500;0.00;2.34;24.65;84.00
25/03/2023;600;0.00;2.34;24.95;83.00
25/03/2023;700;0.00;2.34;25.00;83.50
25/03/2023;800;0.00;2.34;25.05;84.00
25/03/2023;900;0.00;2.34;25.20;82.50
25/03/2023;1000;0.00;2.34;24.95;85.00
25/03/2023;1100;0.00;2.34;24.75;88.50
25/03/2023;1200;0.00;2.34;25.40;87.50
25/03/2023;1300;0.00;2.34;26.35;85.50
25/03/2023;1400;0.00;2.34;28.30;76.00
25/03/2023;1500;0.00;2.34;30.50;65.00
25/03/2023;1600;0.00;2.34;31.40;58.50
25/03/2023;1700;0.00;2.34;32.35;54.50
25/03/2023;1800;0.00;2.34;32.95;52.50
25/03/2023;1900;0.00;2.34;32.40;55.00
25/03/2023;2000;0.00;2.34;29.20;64.50
25/03/2023;2100;0.00;2.34;28.20;66.50
25/03/2023;2200;0.00;2.34;27.80;71.50
25/03/2023;2300;0.00;2.34;27.05;74.50
26/03/2023;2000;20.00;2.36;25.45;73.50
26/03/2023;1900;5.00;2.36;30.45;57.50
